second,sent_at,latency_ms,status,status_code
104,1780839596.627,324.05,ok,200
104,1780839596.770,135.93,ok,200
104,1780839596.912,303.90,ok,200
105,1780839597.239,318.32,ok,200
105,1780839597.440,253.49,ok,200
105,1780839597.640,218.56,ok,200
105,1780839597.840,165.72,ok,200
105,1780839598.040,234.04,ok,200
106,1780839598.293,227.43,ok,200
106,1780839598.437,223.52,ok,200
106,1780839598.579,226.35,ok,200
106,1780839598.722,229.38,ok,200
106,1780839598.865,142.62,ok,200
106,1780839599.008,246.57,ok,200
106,1780839599.151,153.28,ok,200
107,1780839599.321,214.09,ok,200
107,1780839599.488,314.98,ok,200
107,1780839599.655,199.86,ok,200
107,1780839599.822,285.88,ok,200
107,1780839599.988,169.68,ok,200
107,1780839600.155,157.10,ok,200
108,1780839600.328,211.69,ok,200
108,1780839600.496,205.24,ok,200
108,1780839600.663,98.01,ok,200
108,1780839600.830,79.63,ok,200
108,1780839600.996,257.20,ok,200
108,1780839601.163,144.82,ok,200
109,1780839601.329,211.94,ok,200
109,1780839601.497,212.55,ok,200
109,1780839601.664,194.45,ok,200
109,1780839601.831,190.99,ok,200
109,1780839601.996,257.65,ok,200
109,1780839602.164,139.54,ok,200
110,1780839602.331,218.68,ok,200
110,1780839602.499,307.76,ok,200
110,1780839602.665,189.46,ok,200
110,1780839602.832,270.52,ok,200
110,1780839602.999,234.53,ok,200
