second,scheduled_qps,sent,ok,dropped,timeouts,avg_latency_ms,p50_latency_ms,p99_latency_ms,throughput_rps,replicas,cpu_cores
0,7,7,7,0,0,1614.55,1548.79,2797.68,7,1.0,1.0000
1,6,6,6,0,0,1048.27,1176.45,1744.34,6,1.0,1.0000
2,7,7,7,0,0,1402.78,1341.19,2409.65,7,1.0,1.0000
3,6,6,6,0,0,994.38,1183.63,1649.57,6,1.0,1.0000
4,7,7,7,0,0,1487.10,1380.35,2548.76,7,1.0,1.0000
5,8,8,8,0,0,1626.40,1784.48,3007.06,8,1.0,1.0000
6,7,7,7,0,0,1558.15,1554.58,2901.89,7,1.0,1.0000
7,7,7,7,0,0,1241.73,1262.09,2136.45,7,1.0,1.0000
8,7,7,7,0,0,1563.85,1528.12,2699.75,7,1.0,1.0000
9,8,8,8,0,0,1918.70,2117.01,3404.44,8,1.0,1.0000
10,6,6,6,0,0,1209.27,1323.41,2076.21,6,1.0,1.0000
11,9,9,9,0,0,1955.91,1933.00,3585.05,9,1.0,1.0000
12,9,9,9,0,0,1996.70,2111.39,3489.62,9,1.0,1.0000
13,7,7,7,0,0,1364.21,1352.53,2430.43,7,1.0,1.0000
14,7,7,7,0,0,1498.85,1516.71,2798.99,7,1.0,1.0000
15,9,9,9,0,0,1934.86,1851.14,3576.27,9,1.0,1.0000
16,7,7,7,0,0,1470.63,1385.27,2729.80,7,1.0,1.0000
17,7,7,7,0,0,1793.31,1868.30,3038.96,7,1.0,1.0000
18,8,8,8,0,0,1905.53,2158.69,3285.85,8,1.0,1.0000
19,8,8,8,0,0,1658.32,1904.32,3033.50,8,1.0,1.0000
20,8,8,8,0,0,1920.05,2150.13,3400.24,8,1.0,1.0000
21,7,7,7,0,0,1690.57,1717.25,2914.04,7,1.0,1.0000
22,6,6,6,0,0,1398.60,1684.71,2255.35,6,1.0,1.0000
23,7,7,7,0,0,1533.19,1542.39,2610.86,7,1.0,1.0000
24,5,5,5,0,0,1029.82,985.31,1685.20,5,1.0,1.0000
25,7,7,7,0,0,1584.18,1551.95,2698.41,7,1.0,1.0000
26,8,8,8,0,0,1701.57,1901.92,2934.05,8,1.0,1.0000
27,10,10,10,0,0,2268.33,2560.70,4177.42,10,1.0,1.0000
28,7,7,7,0,0,1632.38,1637.77,2701.86,7,1.0,1.0000
29,5,5,5,0,0,1120.71,1112.77,1785.71,5,1.0,1.0000
30,8,8,8,0,0,1786.43,2006.62,3333.10,8,1.0,1.0000
31,7,7,7,0,0,1317.19,1224.08,2319.60,7,1.0,1.0000
32,8,8,8,0,0,1511.34,1651.55,2699.87,8,1.0,1.0000
33,6,6,6,0,0,1261.06,1283.77,2150.53,6,1.0,1.0000
34,8,8,8,0,0,1643.33,1776.89,2998.36,8,1.0,1.0000
35,6,6,6,0,0,1186.10,1282.90,2018.60,6,1.0,1.0000
36,7,7,7,0,0,1507.23,1483.33,2626.48,7,1.0,1.0000
37,8,8,8,0,0,1490.17,1794.30,2433.95,8,1.0,1.0000
38,6,6,6,0,0,1092.29,1272.82,1740.82,6,1.0,1.0000
39,8,8,8,0,0,1398.06,1491.29,2698.65,8,1.0,1.0000
40,7,7,7,0,0,978.83,948.05,1629.27,7,1.0,1.0000
41,7,7,7,0,0,1068.83,1043.13,1905.74,7,1.0,1.0000
42,6,6,6,0,0,1091.54,1196.20,1953.01,6,1.0,1.0000
43,6,6,6,0,0,1179.38,1378.59,2044.38,6,1.0,1.0000
44,6,6,6,0,0,828.99,878.30,1444.12,6,1.0,1.0000
45,7,7,7,0,0,1005.57,1057.38,1815.44,7,1.0,1.0000
46,8,8,8,0,0,1457.54,1587.01,2711.62,8,1.0,1.0000
